,language,dataset,upsampling,name,total_tokens,total_sequences,min_tokens,max_tokens,mean_tokens,Q1_tokens,Q2_tokens,Q3_tokens,cluster_size,rehydratation_weight,total_tokens_rehydrated,total_tokens_upsampled,weight
0,en,dclm_dolmino,1.0,dclm_dolmino_text_document,41052610006,30297557,26,579576,1354.9808654869437,432.0,782.0,1403.0,,1,41052610006,41052610006.0,0.3652789859527106
1,en,open_web_math,1.0,open_web_math_text_document,719317206,316078,19,548615,2275.758534285841,387.0,862.0,2079.0,,1,719317206,719317206.0,0.006400359430194934
2,en,pes2o,1.0,pes2o_text_document,3241486212,1939739,59,738360,1671.0940038840276,203.0,316.0,598.0,,1,3241486212,3241486212.0,0.02884218071216422
3,en,wikipedia_en,1.0,wikipedia_en_text_document,395283825,345083,7,214931,1145.474639434571,151.0,438.0,1110.0,,1,395283825,395283825.0,0.003517166746241121
4,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_1_text_document,5328937248,5852460,54,161345,910.5465476056222,237.0,473.0,951.0,1,1,5328937248,5328937248.0,0.04741595708215805
5,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_100-1000_text_document,35968859,40113,60,109766,896.6883304664324,182.0,399.0,905.0,100-1000,8,287750872,287750872.0,0.002560357227367665
6,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_1000+_text_document,2314470,2886,61,88884,801.9646569646569,139.0,288.0,710.0,1000+,1,2314470,2314470.0,2.0593751639528095e-05
7,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_2_text_document,2253058473,2616440,52,157047,861.1160481417498,227.0,460.0,913.0,2,2,4506116946,4506116946.0,0.0400946450999982
8,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_3_text_document,1149291584,1503627,55,138335,764.3462002211985,218.0,431.0,828.0,3,3,3447874752,3447874752.0,0.030678590055990152
9,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_4_text_document,816118649,1123610,54,163445,726.3362278726604,212.0,417.0,794.0,4,3,2448355947,2448355947.0,0.021785045516977804
10,fr,fineweb2_fra_Latn,1.0,fineweb2_fra_Latn_cluster_5-100_text_document,4094414799,5485493,52,156453,746.4078067367874,223.0,437.0,824.0,5-100,5,20472073995,20472073995.0,0.18215695489640038
11,fr,wikipedia_fr,1.0,wikipedia_fr_text_document,147612463,132400,10,389608,1114.897756797583,166.0,413.5,1048.0,,1,147612463,147612463.0,0.0013134300301671788
12,fr,wikisource,1.0,wikisource_text_document,38388382,9024,10,428988,4254.031693262411,98.0,471.0,3408.5,,1,38388382,38388382.0,0.0003415731483887589
13,fr,wiktionary,1.0,wiktionary_text_document,5985523,32644,19,17565,183.3575235877956,62.0,99.0,166.0,,1,5985523,5985523.0,5.3258142941875734e-05
14,fr,gallica_monographies,1.0,gallica_monographies_text_document,1052630183,10950,5,3285798,96130.61031963472,9818.75,39014.5,114989.75,,1,1052630183,1052630183.0,0.009366120345899065
15,fr,gallica_press,1.0,gallica_press_text_document,2611543431,49533,3,5127105,52723.30428199382,16175.0,33442.0,53649.0,,1,2611543431,2611543431.0,0.023237059375950036
16,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_1_text_document,6463046197,6789712,59,203247,951.888120880532,294.0,533.0,990.0,1,1,6463046197,646304619.7,0.005750706132108629
17,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_100-1000_text_document,47472330,45470,65,100387,1044.0362876621948,237.0,521.0,1103.0,100-1000,8,379778640,37977864.0,0.00033792043060215736
18,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_1000+_text_document,1937682,2413,66,28496,803.0178201409035,171.0,367.0,867.0,1000+,1,1937682,193768.2,1.724115752823933e-06
19,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_2_text_document,2704481004,3219528,60,214931,840.0240668818535,283.0,506.0,916.0,2,2,5408962008,540896200.8000001,0.0048128003482609495
20,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_3_text_document,1481893816,1905233,59,178591,777.8018835491512,276.0,492.0,869.0,3,3,4445681448,444568144.8,0.003955690054680754
21,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_4_text_document,1096259254,1466090,60,156477,747.7434905087682,269.0,481.0,846.0,4,3,3288777762,328877776.20000005,0.0029262972701409417
22,es,fineweb2_spa_Latn,0.1,fineweb2_spa_Latn_cluster_5-100_text_document,5587982192,6846127,59,207965,816.2253186363619,282.0,514.0,914.0,5-100,5,27939910960,2793991096.0,0.024860446976662866
23,es,wikipedia_es,0.1,wikipedia_es_text_document,107836298,97460,10,174411,1106.4672481017851,188.0,455.0,1107.0,,1,107836298,10783629.8,9.595086299403927e-05
24,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_1_text_document,7683629255,7115273,61,212332,1079.8783483079285,275.0,553.0,1122.0,1,1,7683629255,768362925.5,0.00683675971465097
25,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_100-1000_text_document,60064519,65851,65,166789,912.1276670058162,236.0,460.0,916.0,100-1000,8,480516152,48051615.2,0.0004275549172410847
26,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_1000+_text_document,3325877,4193,76,36449,793.1974719771047,184.0,361.0,800.0,1000+,1,3325877,332587.7,2.959307527063163e-06
27,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_2_text_document,3171016305,3373638,63,204096,939.9397045563276,273.0,548.0,1079.0,2,2,6342032610,634203261.0,0.005643030346477947
28,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_3_text_document,1832730079,2085010,63,228952,879.0030162924878,278.0,553.0,1030.0,3,3,5498190237,549819023.7,0.004892194075000157
29,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_4_text_document,1130043825,1425385,65,204438,792.799015704529,250.0,475.0,898.0,4,3,3390131475,339013147.5,0.0030164800417156867
30,de,fineweb2_deu_Latn,0.1,fineweb2_deu_Latn_cluster_5-100_text_document,5737056855,7308832,63,203314,784.9485191341106,247.0,467.0,878.0,5-100,5,28685284275,2868528427.5,0.02552366719242897
31,de,wikipedia_de,0.1,wikipedia_de_text_document,176126119,143959,9,563313,1223.4463909863225,285.0,595.0,1200.0,,1,176126119,17612611.900000002,0.0001567139583541792
32,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_1_text_document,3759596442,3668585,62,197710,1024.8083231000508,278.0,550.0,1087.0,1,1,3759596442,375959644.20000005,0.003345223545407869
33,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_100-1000_text_document,21222255,20097,68,92651,1055.9911927153307,235.0,493.0,1070.0,100-1000,8,169778040,16977804.0,0.00015106554803500874
34,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_1000+_text_document,1412985,1444,74,103355,978.5214681440444,171.0,357.5,897.25,1000+,1,1412985,141298.5,1.257249485211673e-06
35,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_2_text_document,1707353522,1802491,60,180908,947.2188887489592,278.0,535.0,1024.0,2,2,3414707044,341470704.40000004,0.0030383469557126747
36,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_3_text_document,846804765,1056513,65,171252,801.5090822356185,268.0,497.0,886.0,3,3,2540414295,254041429.5,0.002260416469115472
37,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_4_text_document,614622732,789377,65,178508,778.6174818876152,265.0,489.0,868.0,4,3,1843868196,184386819.60000002,0.001640641861179826
38,it,fineweb2_ita_Latn,0.1,fineweb2_ita_Latn_cluster_5-100_text_document,2986850989,3608492,63,285558,827.72831116156,281.0,524.0,935.0,5-100,5,14934254945,1493425494.5,0.01328824038586477
39,it,wikipedia_it,0.1,wikipedia_it_text_document,97743235,93363,9,143200,1046.9161766438524,134.0,392.0,1015.0,,1,97743235,9774323.5,8.697023102628377e-05
40,code,algebraic_stack,2.0,algebraic_stack_text_document,532174541,170562,4,2097053,3120.123714543685,544.0,1311.0,2957.0,,1,532174541,1064349082.0,0.009470393071618005
41,code,starcoder,2.0,starcoder_text_document,6429338457,4829727,3,4238589,1331.2012163420418,201.0,462.0,1148.0,,1,6429338457,12858676914.0,0.11441427142276615
